"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\469devboard\469devboard.sch"
"Date:","12/09/2020 12:03:12"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","63"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","cr1220 holder","Device:Battery_Cell","Battery:BatteryHolder_LINX_BAT-HLD-012-SMT","~"
"","","C1","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C3","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C6","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"","","C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~"
"","","C8","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C11","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C12","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C14","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C16","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C17","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C19","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C20","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C21","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C22","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C23","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C24","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C25","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C26","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C27","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C28","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C29","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C30","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C31","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C32","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C33","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C34","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
"","","C35","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~"
