"Source:","D:\docs\GitHub\DIY\zx\pentagon 128 portable\schematic\469devboard\469devboard.sch"
"Date:","10/10/2020 13:52:49"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","77"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C2","3.0pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C3","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C4","8.2pF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C5","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C6","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","",""
"","","C7","2.2uF","Device:C_Small","Capacitor_SMD:C_1210_3225Metric_Pad1.42x2.65mm_HandSolder","~","","","","","",""
"","","C8","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C9","10uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C10","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C11","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C12","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C13","2.2uF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C14","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C15","4.7uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C16","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C17","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C18","1uF","Device:CP_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C19","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C20","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C21","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C22","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C23","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C24","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C25","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C26","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C27","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C28","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C29","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C30","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C31","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C32","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C33","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C34","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C35","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C36","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C37","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C38","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C39","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C40","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C41","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C42","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C43","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C44","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C45","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C46","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C47","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C48","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C49","100nF","Device:C_Small","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","FB1","GZ2012D601TF","Device:Ferrite_Bead_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","",""
"","","IC1","1072","SamacSys_Parts:1072","SamacSys_Parts:1072","http://www.keystoneelectronics.net/ENG._DEPT/WEB_ORACLE/PDF/PDF%20CAT%20NO%20DRAWINGS/1000-1999/1072.PDF","Coin Cell Battery Holders BATTERY HOLDER FOR CR1220 / 1225 Tape and Reel","3.95","Keystone Electronics","1072","534-1072","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1072?qs=u16ybLDytRbC8B3DEARGaw%3D%3D"
"","","J1","Conn_02x17_Odd_Even","Connector_Generic:Conn_02x17_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~","","","","","",""
"","","J2","Conn_ARM_JTAG_SWD_20","Connector:Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","","","","","",""
"","","J3","10033526-N3212LF","SamacSys_Parts:10033526-N3212LF","SamacSys_Parts:10033526N3212LF","https://www.amphenol-icc.com/media/wysiwyg/files/drawing/10033526.pdf","AMPHENOL FCI NANTONG - 10033526-N3212LF. - CONN USB RCP 5 POS 0.8MM SLDR RA SMD 5TERM","4.15","Amphenol","10033526-N3212LF","649-10033526-N3212LF","https://www.mouser.co.uk/ProductDetail/Amphenol-FCI/10033526-N3212LF?qs=LmzVcvYPptRTPTxae6JWyQ%3D%3D"
